Shape,OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,Shape_Length
"(47.535405816000036, -122.28064276199996)",1,94250370,N,12522,RENTON AVE S,163,"RENTON AVE S, N/O S CLOVERDALE ST",2009,12522,8300,0, ,Y,4614.870959166624743
"(47.52407785500003, -122.29347826999998)",2,50000650,N,8702,AIRPORT WAY S,178,"AIRPORT WAY S, N/O S NORFOLK ST",2009,8702,11400,0, ,Y,18205.406552637399727
"(47.70505121300005, -122.34469412899995)",3,127150040,N,16114,N NORTHGATE WAY,96,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2009,16114,27300,0, ,Y,4267.385575434769635
"(47.67606025300006, -122.34830501899995)",4,123450090,N,15794,N 65TH ST,225,"N 65TH ST, W/O LINDEN AVE N",2009,15794,7900,0, ,Y,12341.35854267330069
"(47.61096394800006, -122.34045213799999)",5,9550200,Y,2762,2ND AVE,39,"2ND AVE, NW/O LENORA ST",2009,2762,12100,0, ,Y,4161.475769190235951
"(47.712044252000055, -122.29951197399998)",6,80150420,N,11190,LAKE CITY WAY NE,123,"LAKE CITY WAY NE, S/O NE 145TH ST",2009,11190,35400,0, ,Y,8237.156888530025753
"(47.60462517900004, -122.32697031499998)",7,78850080,Y,11055,JAMES ST,221,"JAMES ST, NE/O 7TH AVE",2009,11055,33400,0, ,Y,1288.213150923223566
"(47.71960135900008, -122.35553853899995)",8,71050870,N,10795,GREENWOOD AVE N,218,"GREENWOOD AVE N, S/O N 145TH ST",2009,10795,22100,0, ,Y,5299.689215186754154
"(47.52331233900003, -122.27640325399994)",9,94250400,N,12525,RENTON AVE S,229,"RENTON AVE S, SE/O S HENDERSON ST",2009,12525,7500,0, ,Y,8271.63420102157761
"(47.61218154000005, -122.33854264999997)",10,31300190,Y,6138,4TH AVE,140,"4TH AVE, NW/O LENORA ST",2009,6138,13600,0, ,Y,3501.394410061177496
"(47.522861344000034, -122.36009936199997)",11,63200340,N,9992,DELRIDGE WAY SW,120,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2009,9992,13400,0, ,Y,2347.959226801383011
"(47.55342592800008, -122.33421550999998)",12,300310,N,1221,1ST AVE S,38,"1ST AVE S, S/O S LUCILE ST",2009,1221,14100,0, ,Y,1881.079007718337834
"(47.723211939000066, -122.34515960199997)",13,118650110,N,15163,N 130TH ST,93,"N 130TH ST, W/O ASHWORTH AVE N",2009,15163,19600,0, ,Y,5315.400620661674111
