OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,Shape,Shape_Length
151,102580040,N,13330,WEST SEATTLE BR EB & WB,250,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",2014,13330,107300,316321,,Y,"(47.57150601700005, -122.33923413299999)",4775.925421
219,102580040,N,531032,WEST SEATTLE BR EB & WB,249,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,2014,531032,94800,316718,,Y,"(47.571577664000074, -122.32898895899996)",2529.162261
234,520040,N,1270,1ST AV S BR NB,29,"1ST AV S BR NB & SB, S/O POINT A",2014,1270,93900,316678,,Y,"(47.54827138400003, -122.33430913199999)",6772.284374
304,,N,8919,AURORA BR,,WSDOT data,2014,8919,70000,,,,"(47.64225512400003, -122.34694325799995)",3324.626226
150,52500030,N,8900,AURORA AVE N,,WSDOT data,,8900,67000,,,,"(47.618574815000045, -122.34357429399995)",8798.576868
237,97450080,N,12881,SR509 NB,229,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2014,12881,61100,316705,,Y,"(47.51401604400007, -122.32819219199996)",5993.174003
164,86850010,N,11902,MONTLAKE BR,153,"MONTLAKE BR, S/O POINT A",2014,11902,57400,316704,,Y,"(47.645263777000025, -122.30461715199999)",1362.081215
287,53150010,N,9047,BALLARD BR,,,,9047,54500,2013,,,"(47.65443888900006, -122.37621797899999)",5189.903181
176,102580290,N,13333,WEST SEATTLE BR EB & WB,251,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2014,13333,52700,315858,,Y,"(47.571207618000074, -122.35847912499997)",7828.253588
302,,N,8921,AURORA AVE N,,WSDOT data,2014,8921,52000,,,,"(47.65276546600006, -122.34731672099997)",444.2565443
161,86150160,N,11775,MERCER ST,150,"MERCER ST, W/O FAIRVIEW AVE N",2014,11775,51700,316703,,Y,"(47.624549726000055, -122.34234960099997)",1988.340098
259,65600100,N,10218,ELLIOTT AVE W,120,"ELLIOTT AVE W, SE/O W MERCER PL",2014,10218,48900,315142,Y,Y,"(47.618617769000025, -122.35847802499995)",7015.732512
