lat,lon,OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,Shape_Length
47.54827138400003, -122.33430913199999,255,520040,N,1270,1ST AV S BR NB,1,"1ST AV S BR NB, S/O POINT A",2007,1270,88000,0,,Y,6772.179899
47.57150601700005, -122.33923413299999,82,102580040,N,13330,WEST SEATTLE BR EB & WB,198,"WEST SEATTLE BR EB, E/O DELRIDGE-W SEATTLE BR EB ON RP",2007,13330,85100,0,,Y,4775.86494
47.51401604400007, -122.32819219199996,79,97450080,N,12881,SR509 NB,232,"SR509 NB, S/O CLOVERDALE ST OFF RP",2007,12881,58700,0,,Y,5993.165041
47.645263777000025, -122.30461715199999,198,86850010,N,11902,MONTLAKE BR,83,"MONTLAKE BR, S/O POINT A",2007,11902,57203,0,,Y,1362.068921
47.618617769000025, -122.35847802499995,163,65600100,N,10218,ELLIOTT AVE W,49,"ELLIOTT AVE W, SE/O W MERCER PL",2007,10218,48000,0,,Y,7015.664707
47.648997404000056, -122.30459125899995,149,86950030,N,11911,MONTLAKE BLVD NE,188,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2007,11911,46000,0,,Y,3751.799471
47.571207618000074, -122.35847912499997,134,102580290,N,13333,WEST SEATTLE BR EB & WB,233,"WEST SEATTLE BR EB, NE/O FAUNTLEROY WAY SW",2007,13333,44300,0,,Y,7828.178811
47.63349905000007, -122.37619535299996,69,5750060,N,2188,15TH AVE W,202,"15TH AVE W, N/O W ARMORY WAY",2007,2188,43300,0,,Y,7640.755892
47.65135136100008, -122.34731411199999,123,52500700,N,8957,AURORA AVE N,150,"AURORA AVE N, S/O N 80TH ST",2007,8957,40000,0,,Y,13101.59603
47.534199596000065, -122.33216467699998,242,97810020,N,490543,SR99 FY,267,"SR99 FY, S/O S CLOVERDALE ST",2007,490543,39700,0,,Y,6145.389649
47.571577664000074, -122.32898895899996,193,156300030,N,19710,S COLUMBIAN WAY,37,"S COLUMBIAN EB WAY, NW/O 14TH AVE S",2007,19710,39600,0,,Y,4139.989004
47.70419933100004, -122.30161245299996,118,80150280,N,11166,LAKE CITY WAY NE,23,"LAKE CITY WAY NE, SW/O NE 115TH ST",2007,11166,38900,0,,Y,2944.274922
